,Keyword,QualityScore,FirstPageCPC,TopPageCPC
0,online golf handicap,10,0.02,1.0
1,get a golf handicap,10,0.01,0.75
2,official golf handicap online,10,0.01,0.75
100,Golf Handicap Tracker,10,0.01,0.45000000000000001
150,official usga handicap online,10,0.01,0.40000000000000002
250,USGA Golf Handicap,10,0.01,0.34999999999999998
400,figure out golf handicap,7,0.10000000000000001,1.25
500,golf digest handicap,7,0.070000000000000007,0.55000000000000004
600,Golf Handicap North Carolina,7,0.089999999999999997,0.5
700,golf handicapping,7,0.070000000000000007,0.40000000000000002
800,www golf handicap,7,0.050000000000000003,0.14999999999999999
900,golf handicap card,6,0.25,0.80000000000000004
950,handicap system in golf,6,0.25,0.65000000000000002
1000,online golf scorecard,6,0.20000000000000001,0.57999999999999996
1200,golf handicap system,5,0.29999999999999999,0.5
1250,establish golf handicap,5,0.029999999999999999,0.0
1300,golfers handicap,5,0.040000000000000001,0.0
1350,how to get a golf handicap,5,0.01,0.0
1400,online golf handicap calculation,5,0.040000000000000001,0.0
1450,handicap trackers,5,0.040000000000000001,0.0
1500,online golf handicaps statistic,5,0.0,0.0
1550,establishing a golf handicap,5,0.050000000000000003,0.0
1600,handicap formula,5,0.050000000000000003,0.0
1650,online handicap system,5,0.040000000000000001,0.0
1700,handicaps certificates,5,0.050000000000000003,0.0
1750,[on line golf handicap],5,0.29999999999999999,0.0
1800,handcap,5,0.29999999999999999,0.0
1850,on line golf handicap,5,0.29999999999999999,0.0
1900,golftracker com,5,0.34999999999999998,0.0
1950,golf scores online,5,0.0,0.0
2000,golf score posting,5,0.0,0.0
2050,skybrook golf club,4,1.3799999999999999,1.76
2100,calculate a golf handicap,4,0.90000000000000002,1.5
2250,calculate a golf handicap,4,0.80000000000000004,1.25
2300,golf instructional software,4,0.55000000000000004,1.25
2350,[how do you figure your golf handicap],4,0.84999999999999998,1.25
2450,[usga golf],4,0.54000000000000004,1.0900000000000001
2500,golf handicap spreadsheet,4,0.5,0.94999999999999996
2600,[how do you figure handicap in golf],4,0.45000000000000001,0.80000000000000004
2650,golf handicap online,4,0.59999999999999998,0.0
2750,[usga handicaps],4,0.75,0.0
2800,golf handicap trackers,4,0.94999999999999996,0.0
2950,establish a golf handicap,4,0.80000000000000004,0.0
3000,usga handicaps,4,0.75,0.0
3050,[golf handicap card],4,0.5,0.0
3100,"""""""golfshake com""""""",4,0.45000000000000001,0.0
3150,"""""""the montgomerie golf club dubai""""""",3,2.25,2.75
3200,"""""""resort golf course""""""",3,1.5,2.0
3250,the golf space,3,1.25,1.75
3300,"""""""jekyll island golf tournament""""""",3,1.25,1.75
3350,"""""""golf club at""""""",3,1.0,1.5
3400,[golf handicap index],3,2.75,0.0
3450,"""""""golf handicap index""""""",3,2.75,0.0
3500,golf handicap USGA,3,1.25,0.0
3550,golf nj,3,1.5,0.0
3600,usga golf handicap,3,1.25,0.0
3650,golf handicap index,3,2.75,0.0
3700,[golf handicap index],3,2.75,0.0
3750,"""""""golf score handicap""""""",3,1.5,0.0
3800,online golf handicap,3,1.5,0.0
3850,[golf score handicap],3,1.5,0.0
3900,"""""""Online Golf Handicap""""""",3,1.5,0.0
3950,USGA Handicap,3,1.5,0.0
4000,[Online Golf Handicap],3,1.5,0.0
4050,"""""""USGA Handicap""""""",3,1.5,0.0
4100,calculate handicap golf,3,3.5,0.0
4150,[callaway golf handicap],3,2.75,0.0
4200,"""""""golf digest handicap tracker""""""",3,3.75,0.0
4250,golf handicap how,3,3.5,0.0
4300,[golf handicap tracker review],3,4.0,0.0
4350,[golf score],3,4.0,0.0
4400,golf stats tracker,3,1.25,0.0
4450,"""""""greens in regulation""""""",3,3.0,0.0
4500,"""""""handycaps""""""",3,1.0,0.0
4550,how to work out your handicap,3,3.25,0.0
4600,[online handicap calculator],3,2.0,0.0
4650,slope rating handicap,3,1.5,0.0
4700,usga handicap system,3,1.75,0.0
4750,[best golf irons for mid handicap],2,7.0,0.0
4800,how to calculate golf handicap,2,7.75,0.0
4850,[what does a handicap in golf mean],1,13.0,0.0
